Year,Season,Locality,IAM_pct,IAM_avg,IAM_sd,IAM_min,IAM_max,ISAHI_pct,ISAHI_sd,Total_Clips
2023,High Water (Creciente),12 DE ABRIL,14.22,14.22,34.92,0.0,100.0,24.65,43.1,90433
2023,High Water (Creciente),PAUJIL,20.15,20.15,40.11,0.0,100.0,25.46,43.56,91352
2023,High Water (Creciente),QUISTOCOCHA,21.35,21.35,40.98,0.0,100.0,41.12,49.2,99820
2023,High Water (Creciente),SAN LUCAS,26.73,26.73,44.26,0.0,100.0,64.98,47.7,52250
2023,High Water (Creciente),VARILLAL,26.21,26.21,43.98,0.0,100.0,52.19,49.95,109800
2023,Low Water (Vaciante),12 DE ABRIL,30.83,30.83,46.18,0.0,100.0,23.81,42.59,72663
2023,Low Water (Vaciante),PAUJIL,27.9,27.9,44.85,0.0,100.0,20.55,40.4,72439
2023,Low Water (Vaciante),QUISTOCOCHA,10.2,10.2,30.26,0.0,100.0,35.34,47.8,39637
2023,Low Water (Vaciante),SAN LUCAS,21.58,21.58,41.13,0.0,100.0,10.36,30.48,123924
2023,Low Water (Vaciante),VARILLAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16248
2024,High Water (Creciente),12 DE ABRIL,20.77,20.77,40.57,0.0,100.0,19.76,39.82,92289
2024,High Water (Creciente),PAUJIL,29.42,29.42,45.57,0.0,100.0,28.56,45.17,147560
2024,High Water (Creciente),QUISTOCOCHA,9.68,9.68,29.56,0.0,100.0,20.42,40.31,117245
2024,High Water (Creciente),SAN LUCAS,10.43,10.43,30.56,0.0,100.0,30.69,46.12,133361
2024,High Water (Creciente),VARILLAL,20.0,20.0,40.0,0.0,100.0,29.18,45.46,260524
2024,Low Water (Vaciante),12 DE ABRIL,18.58,18.58,38.89,0.0,100.0,27.6,44.7,46704
2024,Low Water (Vaciante),PAUJIL,27.16,27.16,44.48,0.0,100.0,33.52,47.21,47002
2024,Low Water (Vaciante),QUISTOCOCHA,17.57,17.57,38.05,0.0,100.0,35.43,47.83,66843
2024,Low Water (Vaciante),SAN LUCAS,20.67,20.67,40.5,0.0,100.0,32.74,46.93,87566
2024,Low Water (Vaciante),VARILLAL,11.51,11.51,31.92,0.0,100.0,27.97,44.89,112557
2025,High Water (Creciente),12 DE ABRIL,5.71,5.71,23.21,0.0,100.0,7.9,26.98,39359
2025,High Water (Creciente),PAUJIL,20.07,20.07,40.05,0.0,100.0,18.75,39.03,28800
2025,High Water (Creciente),SAN LUCAS,20.75,20.75,40.55,0.0,100.0,20.79,40.58,15318
2025,High Water (Creciente),VARILLAL,6.58,6.58,24.8,0.0,100.0,41.95,49.35,319836
2025,Low Water (Vaciante),12 DE ABRIL,16.91,16.91,37.49,0.0,100.0,90.75,28.97,197468
2025,Low Water (Vaciante),PAUJIL,4.79,4.79,21.34,0.0,100.0,24.57,43.05,158160
2025,Low Water (Vaciante),QUISTOCOCHA,2.5,2.5,15.62,0.0,100.0,24.73,43.14,212612
2025,Low Water (Vaciante),SAN LUCAS,17.84,17.84,38.29,0.0,100.0,76.37,42.48,280052
